"date","close","volume","open","high","low"

"2016/06/03","97.9200","28487570.0000","97.7900","98.2700","97.4500"
"2016/06/02","97.7200","40170200.0000","97.6000","97.8400","96.6300"
"2016/06/01","98.4600","29139100.0000","99.0200","99.5400","98.3300"
"2016/05/31","99.8600","42268040.0000","99.6000","100.4000","98.8200"
"2016/05/27","100.3500","36299460.0000","99.4400","100.4700","99.2450"
"2016/05/26","100.4100","56293490.0000","99.6800","100.7300","98.6400"
"2016/05/25","99.6200","38258300.0000","98.6700","99.7400","98.1100"
"2016/05/24","97.9000","35074380.0000","97.2200","98.0900","96.8400"
"2016/05/23","96.4300","37977020.0000","95.8700","97.1900","95.6700"
"2016/05/20","95.2200","31834020.0000","94.6400","95.4300","94.5200"
"2016/05/19","94.2000","30417880.0000","94.6400","94.6400","93.5700"
"2016/05/18","94.5600","42009830.0000","94.1600","95.2100","93.8900"
"2016/05/17","93.4900","46858910.0000","94.5500","94.7000","93.0100"
"2016/05/16","93.8800","61192340.0000","92.3900","94.3900","91.6500"
"2016/05/13","90.5200","44223040.0000","90.0000","91.6700","90.0000"
"2016/05/12","90.3400","76183460.0000","92.7200","92.7800","89.4700"
"2016/05/11","92.5100","28641180.0000","93.4800","93.5700","92.4600"
"2016/05/10","93.4200","33653020.0000","93.3300","93.5700","92.1100"
"2016/05/09","92.7900","32895650.0000","93.0000","93.7700","92.5900"
"2016/05/06","92.7200","43665160.0000","93.3700","93.4500","91.8500"
"2016/05/05","93.2400","35850220.0000","94.0000","94.0700","92.6800"
"2016/05/04","94.1900","40984160.0000","95.2000","95.9000","93.8200"
"2016/05/03","95.1800","56770080.0000","94.2000","95.7400","93.6800"
"2016/05/02","93.6400","47844490.0000","93.9650","94.0800","92.4000"
"2016/04/29","93.7400","68388840.0000","93.9900","94.7200","92.5100"
"2016/04/28","94.8300","82107120.0000","97.6100","97.8800","94.2500"
"2016/04/27","97.8200","114436300.0000","96.0000","98.7100","95.6800"
"2016/04/26","104.3500","52979780.0000","103.9100","105.3000","103.9100"
"2016/04/25","105.0800","27997990.0000","105.0000","105.6500","104.5100"
"2016/04/22","105.6800","33655810.0000","105.0100","106.4800","104.6200"
"2016/04/21","105.9700","31416910.0000","106.9300","106.9300","105.5200"
"2016/04/20","107.1300","30576980.0000","106.6400","108.0900","106.0600"
"2016/04/19","106.9100","32340620.0000","107.8800","108.0000","106.2300"
"2016/04/18","107.4800","60784920.0000","108.8900","108.9500","106.9400"
"2016/04/15","109.8500","46873670.0000","112.1100","112.3000","109.7300"
"2016/04/14","112.1000","25364920.0000","111.6200","112.3900","111.3300"
"2016/04/13","112.0400","32771760.0000","110.8000","112.3400","110.8000"
"2016/04/12","110.4400","27150570.0000","109.3400","110.5000","108.6600"
"2016/04/11","109.0200","29357940.0000","108.9700","110.6100","108.8300"
"2016/04/08","108.6600","23553790.0000","108.9100","109.7700","108.1700"
"2016/04/07","108.5400","31735810.0000","109.9500","110.4200","108.1210"
"2016/04/06","110.9600","26178840.0000","110.2300","110.9800","109.2000"
"2016/04/05","109.8100","26560420.0000","109.5100","110.7300","109.4200"
"2016/04/04","111.1200","37322930.0000","110.4200","112.1900","110.2700"
"2016/04/01","109.9900","25820460.0000","108.7800","110.0000","108.2000"
"2016/03/31","108.9900","25763840.0000","109.7200","109.9000","108.8800"
"2016/03/30","109.5600","45547590.0000","108.6500","110.4200","108.6000"
"2016/03/29","107.6800","31154910.0000","104.8900","107.7900","104.8800"
"2016/03/28","105.1900","19354440.0000","106.0000","106.1900","105.0600"
"2016/03/24","105.6700","25568350.0000","105.4700","106.2500","104.8900"
"2016/03/23","106.1300","25686350.0000","106.4800","107.0700","105.9000"
"2016/03/22","106.7200","32345430.0000","105.2500","107.2900","105.2100"
"2016/03/21","105.9100","35454230.0000","105.9300","107.6500","105.1401"
"2016/03/18","105.9200","43607120.0000","106.3400","106.5000","105.1900"
"2016/03/17","105.8000","34394830.0000","105.5200","106.4700","104.9600"
"2016/03/16","105.9700","38236730.0000","104.6100","106.3100","104.5900"
"2016/03/15","104.5800","40026250.0000","103.9600","105.1800","103.8500"
"2016/03/14","102.5200","25058280.0000","101.9100","102.9100","101.7800"
"2016/03/11","102.2600","27368840.0000","102.2400","102.2800","101.5000"
"2016/03/10","101.1700","33490630.0000","101.4100","102.2400","100.1500"
"2016/03/09","101.1200","27148530.0000","101.3100","101.5800","100.2700"
"2016/03/08","101.0300","31538710.0000","100.7800","101.7600","100.4000"
"2016/03/07","101.8700","35890740.0000","102.3900","102.8300","100.9600"
"2016/03/04","103.0100","46026600.0000","102.3700","103.7500","101.3700"
"2016/03/03","101.5000","36884490.0000","100.5800","101.7099","100.4500"
